,Unnamed: 0,match_api_id,home_team_api_id,away_team_api_id,season,date,result_label,away_Defender_rating,home_Defender_rating,away_Attacker_rating,home_Attacker_rating,away_Goalkeeper_rating,home_Goalkeeper_rating,away_Midfielder_rating,home_Midfielder_rating,HEAD_2_HEAD_HOME_TEAM_WINS,HEAD_2_HEAD_HOME_TEAM_LOSS,HEAD_2_HEAD_DRAW,HOME_WIN_RATE,HOME_WIN_RATE_THIS_SEASON,AWAY_WIN_RATE,AWAY_WIN_RATE_THIS_SEASON,AWAY_WIN_RATE_AT_THIS_GROUND
17064,21025,1474150,9925,8066,2013/2014,2013-08-24,DRAW,65.0,70.5,71.0,67.5,63.0,74.0,66.4,70.0,0.7,0.2,0.1,0.7764705882352941,1.0,0.2786885245901639,1.0,0.16666666666666666
17065,21026,1474152,9938,8467,2013/2014,2013-08-24,HOME_WIN,66.25,61.25,64.0,67.0,58.0,64.0,63.5,64.33333333333333,0.38461538461538464,0.07692307692307693,0.5384615384615384,0.43209876543209874,0.0,0.3088235294117647,0.0,0.16666666666666666
17066,21027,1474153,9860,8485,2013/2014,2013-08-24,HOME_WIN,62.0,60.2,70.0,0.0,60.0,67.0,63.5,61.4,0.4375,0.1875,0.375,0.5232558139534884,1.0,0.19230769230769232,,0.14285714285714285
17067,21030,1474158,8649,9800,2013/2014,2013-08-24,HOME_WIN,0.0,62.33333333333334,67.0,61.0,58.0,62.0,64.22222222222223,63.5,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3125,0.0,0.14102564102564102,0.0,0.0
17068,21031,1474161,8485,8467,2013/2014,2013-08-31,DRAW,66.25,62.75,65.0,65.0,58.0,62.0,63.0,62.75,0.3076923076923077,0.38461538461538464,0.3076923076923077,0.34177215189873417,0.5,0.30434782608695654,0.0,0.42857142857142855
17069,21032,1474163,9938,9925,2013/2014,2013-08-31,AWAY_WIN,71.0,61.75,73.5,68.33333333333333,74.0,64.0,73.0,64.33333333333333,0.05555555555555555,0.6666666666666666,0.2777777777777778,0.43902439024390244,0.5,0.6219512195121951,1.0,0.5555555555555556
17070,21034,1474166,8066,9860,2013/2014,2013-08-31,HOME_WIN,56.25,65.0,52.0,71.0,67.0,63.0,61.2,66.4,0.2,0.3,0.5,0.3114754098360656,1.0,0.2413793103448276,0.0,0.3333333333333333
17071,21036,1474169,9800,8426,2013/2014,2013-08-31,AWAY_WIN,61.5,0.0,0.0,64.5,62.0,58.0,61.75,63.375,,,,0.26582278481012656,0.0,1.0,1.0,
17072,21037,1474186,9860,9925,2013/2014,2013-09-14,AWAY_WIN,71.0,60.2,73.5,0.0,74.0,67.0,73.0,61.4,0.16666666666666666,0.6666666666666666,0.16666666666666666,0.5287356321839081,1.0,0.6265060240963856,1.0,0.5555555555555556
17073,21038,1474188,8597,8066,2013/2014,2013-09-14,AWAY_WIN,65.0,61.0,71.0,63.0,63.0,64.0,66.4,58.2,0.2727272727272727,0.36363636363636365,0.36363636363636365,0.2875,0.0,0.27419354838709675,0.5,0.5
17074,21039,1474189,8426,8485,2013/2014,2013-09-14,AWAY_WIN,63.33333333333334,59.33333333333334,61.0,0.0,62.0,62.0,63.8,60.57142857142857,,,,0.0,0.0,0.189873417721519,0.0,
17075,21040,1474190,8649,9938,2013/2014,2013-09-15,AWAY_WIN,61.33333333333334,62.33333333333334,68.0,61.0,64.0,62.0,63.0,63.5,0.25,0.25,0.5,0.35294117647058826,0.5,0.34146341463414637,0.0,0.5
17076,21041,1474192,8467,10251,2013/2014,2013-09-14,AWAY_WIN,60.5,66.25,65.5,64.0,63.0,69.0,61.16666666666666,63.75,0.5,0.25,0.25,0.375,1.0,0.2948717948717949,0.0,0.2
