,match_api_id,home_team_api_id,away_team_api_id,season,date,result_label,away_Defender_rating,home_Defender_rating,away_Attacker_rating,home_Attacker_rating,away_Goalkeeper_rating,home_Goalkeeper_rating,away_Midfielder_rating,home_Midfielder_rating
19168,1750634,9807,6547,2014/2015,2015-01-25 00:00:00,DRAW,64.25,67.0,67.0,63.5,65.0,67.0,65.8,69.0
19169,1750635,10212,9773,2014/2015,2015-01-25 00:00:00,HOME_WIN,77.75,68.0,83.0,70.5,77.0,71.0,77.0,67.5
19170,1750636,8348,10214,2014/2015,2015-01-25 00:00:00,AWAY_WIN,67.66666666666667,66.5,69.5,70.0,70.0,69.0,69.4,68.6
19171,1750637,7841,7842,2014/2015,2015-02-01 00:00:00,HOME_WIN,69.0,66.0,69.0,70.0,71.0,70.0,68.75,70.16666666666667
19173,1750639,10264,8348,2014/2015,2015-01-30 00:00:00,HOME_WIN,65.5,69.2,70.0,70.0,69.0,72.0,68.6,74.75
19174,1750640,10214,9807,2014/2015,2015-01-31 00:00:00,HOME_WIN,67.5,69.33333333333333,69.0,70.0,67.0,70.0,70.2,69.4
19176,1750642,9772,8613,2014/2015,2015-01-31 00:00:00,HOME_WIN,64.75,77.25,66.33333333333333,79.0,67.0,82.0,66.33333333333333,75.33333333333333
19178,1750644,158085,9768,2014/2015,2015-02-01 00:00:00,AWAY_WIN,72.5,66.5,75.66666666666667,69.0,80.0,70.0,78.0,68.2
19179,1750645,9764,10238,2014/2015,2015-02-01 00:00:00,DRAW,66.0,67.0,68.5,66.0,65.0,70.0,66.0,67.2
19181,1748727,7842,7841,2014/2015,2014-08-24 00:00:00,AWAY_WIN,68.0,70.25,69.0,74.0,73.0,75.0,68.75,69.2
19182,1748728,6403,9773,2014/2015,2014-08-23 00:00:00,AWAY_WIN,77.0,64.75,82.0,71.0,75.0,69.0,73.5,69.25
19184,1748730,10212,10215,2014/2015,2014-08-23 00:00:00,HOME_WIN,65.75,67.0,68.0,66.5,68.0,69.0,66.25,68.25
19185,1748731,9768,158085,2014/2015,2014-08-23 00:00:00,HOME_WIN,66.0,73.0,67.0,76.5,70.0,80.0,71.0,73.0
19187,1748733,8348,10264,2014/2015,2014-08-25 00:00:00,DRAW,70.25,66.25,75.0,70.0,67.0,66.0,74.5,67.0
19189,1750646,9768,9772,2014/2015,2015-02-08 00:00:00,DRAW,76.4,74.0,79.0,77.0,75.0,80.0,75.0,78.75
19190,1750647,158085,10214,2014/2015,2015-02-08 00:00:00,DRAW,69.33333333333333,66.5,71.0,69.0,70.0,70.0,69.25,68.2
19193,1750650,7844,9807,2014/2015,2015-02-08 00:00:00,AWAY_WIN,67.5,68.2,62.0,68.5,67.0,69.0,70.75,73.66666666666667
19194,1750651,7842,10264,2014/2015,2015-02-08 00:00:00,AWAY_WIN,72.8,67.0,71.0,69.0,73.0,71.0,75.33333333333333,68.25
19195,1750652,10212,9764,2014/2015,2015-02-08 00:00:00,AWAY_WIN,67.5,68.0,66.0,65.5,70.0,71.0,66.8,67.5
19196,1750653,8613,7841,2014/2015,2015-02-09 00:00:00,DRAW,66.0,62.333333333333336,70.0,67.0,70.0,67.0,69.66666666666667,65.5
19197,1750654,6403,6547,2014/2015,2015-02-08 00:00:00,HOME_WIN,64.5,66.0,66.0,69.5,65.0,68.0,65.8,69.0
19198,1750655,10264,158085,2014/2015,2015-02-15 00:00:00,HOME_WIN,66.25,72.8,69.0,71.0,70.0,73.0,68.4,74.66666666666667
19199,1750656,10214,7842,2014/2015,2015-02-16 00:00:00,HOME_WIN,69.0,69.33333333333333,69.0,71.0,71.0,64.0,68.0,70.75
19202,1750659,9764,6403,2014/2015,2015-02-14 00:00:00,HOME_WIN,66.2,67.5,70.0,66.0,68.0,70.0,67.0,66.8
19203,1750660,7841,8348,2014/2015,2015-02-15 00:00:00,DRAW,66.0,66.33333333333333,70.0,72.0,69.0,70.0,68.4,70.33333333333333
19205,1750662,6547,10212,2014/2015,2015-02-15 00:00:00,AWAY_WIN,67.8,65.25,65.5,67.0,71.0,66.0,65.66666666666667,65.8
19206,1750663,9807,9768,2014/2015,2015-02-14 00:00:00,DRAW,74.25,67.5,77.0,69.0,80.0,69.0,78.75,68.0
19207,1750664,10212,9807,2014/2015,2015-02-22 00:00:00,AWAY_WIN,68.33333333333333,68.0,67.0,65.66666666666667,69.0,71.0,68.25,69.0
19209,1750666,10264,10214,2014/2015,2015-02-21 00:00:00,HOME_WIN,69.33333333333333,72.8,70.0,71.0,64.0,73.0,67.4,75.33333333333333
19210,1750667,8348,9772,2014/2015,2015-02-21 00:00:00,AWAY_WIN,76.4,67.0,79.0,67.0,75.0,69.0,75.5,68.4
19212,1750669,9768,9764,2014/2015,2015-02-22 00:00:00,HOME_WIN,67.0,73.75,66.0,73.0,70.0,80.0,66.16666666666667,77.75
19213,1750670,158085,7841,2014/2015,2015-02-22 00:00:00,HOME_WIN,66.5,63.5,72.0,64.0,70.0,70.0,69.8,68.6
19214,1750671,8613,9773,2014/2015,2015-02-23 00:00:00,AWAY_WIN,74.0,62.5,83.0,63.0,77.0,67.0,75.16666666666667,65.6
19215,1750672,6403,7844,2014/2015,2015-02-20 00:00:00,DRAW,68.4,66.2,67.0,70.0,69.0,68.0,73.0,67.0
19216,1750673,9764,8613,2014/2015,2015-02-28 00:00:00,DRAW,62.5,67.5,64.5,67.0,67.0,70.0,65.25,67.4
19217,1750674,10215,158085,2014/2015,2015-03-01 00:00:00,DRAW,63.5,64.75,69.0,67.5,70.0,68.0,69.2,65.5
19218,1750675,9807,6403,2014/2015,2015-03-02 00:00:00,AWAY_WIN,62.0,68.33333333333333,70.0,69.0,63.0,69.0,68.75,69.8
19219,1750676,7844,10212,2014/2015,2015-02-27 00:00:00,HOME_WIN,65.75,67.5,65.66666666666667,67.0,71.0,71.0,69.0,71.0
19220,1750677,9773,9768,2014/2015,2015-03-01 00:00:00,HOME_WIN,73.25,76.75,77.0,83.0,80.0,77.0,78.75,77.0
19221,1750678,7841,10264,2014/2015,2015-02-28 00:00:00,AWAY_WIN,72.8,66.4,71.5,72.0,73.0,71.0,75.33333333333333,70.0
19222,1750679,9772,7842,2014/2015,2015-02-28 00:00:00,HOME_WIN,66.25,77.25,71.5,79.0,71.0,75.0,68.0,78.0
19223,1750680,10214,10238,2014/2015,2015-03-01 00:00:00,HOME_WIN,65.75,71.33333333333333,68.0,70.0,65.0,70.0,68.0,69.6
19225,1750682,8348,10215,2014/2015,2015-03-08 00:00:00,AWAY_WIN,65.75,66.0,67.5,70.0,68.0,69.0,66.0,68.2
19227,1750684,8613,7844,2014/2015,2015-03-08 00:00:00,HOME_WIN,68.75,64.0,68.0,64.0,71.0,67.0,71.2,66.0
19228,1750685,10238,9807,2014/2015,2015-03-07 00:00:00,DRAW,67.5,64.75,66.0,68.0,69.0,63.0,69.25,67.66666666666667
19229,1750686,7841,10214,2014/2015,2015-03-09 00:00:00,DRAW,69.33333333333333,68.0,70.5,72.0,70.0,71.0,69.6,70.4
19230,1750687,10264,9773,2014/2015,2015-03-06 00:00:00,AWAY_WIN,76.75,72.8,83.0,71.5,77.0,73.0,77.0,75.33333333333333
19231,1750688,10212,6403,2014/2015,2015-03-08 00:00:00,HOME_WIN,62.4,65.0,63.0,65.0,63.0,71.0,68.75,66.6
19232,1750689,158085,9772,2014/2015,2015-03-08 00:00:00,AWAY_WIN,77.25,64.25,79.0,69.0,82.0,70.0,78.33333333333333,69.5
19233,1750690,7842,9764,2014/2015,2015-03-08 00:00:00,DRAW,67.0,70.25,67.0,71.33333333333333,70.0,74.0,66.33333333333333,70.33333333333333
19234,1750691,6403,8613,2014/2015,2015-03-13 00:00:00,HOME_WIN,64.75,66.2,64.0,63.0,67.0,63.0,66.0,67.0
19235,1750692,10215,10214,2014/2015,2015-03-15 00:00:00,HOME_WIN,70.0,65.75,70.5,68.0,70.0,68.0,69.0,66.0
19236,1750693,9772,10264,2014/2015,2015-03-14 00:00:00,HOME_WIN,72.8,77.25,73.0,79.33333333333333,73.0,82.0,75.33333333333333,78.33333333333333
19237,1750694,9764,8348,2014/2015,2015-03-15 00:00:00,AWAY_WIN,67.0,67.0,70.0,67.0,69.0,70.0,68.2,65.66666666666667
19238,1750695,10212,9768,2014/2015,2015-03-15 00:00:00,AWAY_WIN,74.25,68.0,76.5,66.0,80.0,71.0,76.25,68.5
19239,1750696,6547,7841,2014/2015,2015-03-15 00:00:00,AWAY_WIN,67.0,65.0,72.0,66.0,71.0,66.0,70.0,67.0
19241,1750698,9773,158085,2014/2015,2015-03-15 00:00:00,HOME_WIN,66.0,76.66666666666667,68.33333333333333,76.0,70.0,77.0,69.0,76.33333333333333
19242,1750699,9807,7842,2014/2015,2015-03-14 00:00:00,DRAW,69.5,69.0,71.33333333333333,66.0,73.0,69.0,69.66666666666667,68.4
19243,1750700,7841,9772,2014/2015,2015-03-21 00:00:00,HOME_WIN,77.25,68.25,78.5,72.0,82.0,71.0,76.5,69.6
19244,1750701,8348,10212,2014/2015,2015-03-22 00:00:00,DRAW,68.0,67.0,66.0,70.0,71.0,69.0,67.75,68.2
19245,1750702,10214,9773,2014/2015,2015-03-21 00:00:00,DRAW,76.75,66.33333333333333,76.0,69.0,81.0,70.0,77.0,68.33333333333333
